square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-30,-28,-40,-44,-62,-60,-78,-60,-62,D8:07:B6:6E:4E:F4
s-01,-30,-52,-38,-44,-62,-60,-78,-60,-68,98:DE:D0:8F:0A:38
s-01,-30,-17,-36,-40,-62,-58,-66,-60,-68,D8:07:B6:6E:4E:F4
s-01,-28,-19,-36,-36,-62,-56,-36,-52,-68,D8:07:B6:6E:4E:F4
s-01,-28,-17,-36,-40,-54,-56,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-28,-17,-40,-56,-60,-84,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-17,-40,-38,-60,-62,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-28,-40,-60,-60,-62,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-60,-60,-62,-38,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-60,-60,-56,-70,-54,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-40,-60,-56,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-20,-40,-40,-60,-50,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-44,-40,-40,-60,-68,-36,-52,-64,98:DE:D0:8F:0A:38
s-01,-32,-19,-40,-40,-60,-68,-34,-52,-62,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-60,-62,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-38,-19,-60,-38,-60,-62,-34,-60,-60,D8:07:B6:6E:4E:F4
s-01,-32,-17,-40,-40,-60,-68,-36,-52,-60,D8:07:B6:6E:4E:F4
s-01,-30,-60,-40,-40,-60,-56,-34,-54,-60,98:DE:D0:8F:0A:38
s-01,-28,-19,-40,-40,-68,-56,-34,-66,-60,D8:07:B6:6E:4E:F4
s-01,-32,-28,-40,-40,-68,-56,-36,-52,-60,D8:07:B6:6E:4E:F4
s-01,-32,-28,-40,-40,-68,-56,-36,-52,-68,D8:07:B6:6E:4E:F4
s-01,-36,-17,-40,-60,-68,-56,-34,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-28,-40,-38,-60,-56,-34,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-28,-40,-60,-58,-56,-60,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-28,-40,-52,-58,-56,-36,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-17,-40,-40,-58,-56,-34,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-20,-40,-38,-58,-54,-34,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-19,-38,-38,-58,-54,-36,-56,-68,D8:07:B6:6E:4E:F4
s-01,-30,-19,-38,-40,-60,-54,-34,-56,-68,D8:07:B6:6E:4E:F4
s-01,-30,-19,-38,-38,-60,-54,-36,-54,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-38,-58,-54,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-38,-60,-68,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-52,-40,-40,-62,-68,-34,-52,-64,98:DE:D0:8F:0A:38
s-01,-30,-19,-40,-36,-60,-68,-32,-50,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-60,-60,-60,-34,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-38,-56,-60,-36,-50,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-40,-60,-60,-36,-50,-72,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-40,-60,-68,-36,-50,-72,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-58,-58,-36,-52,-72,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-40,-60,-58,-36,-52,-72,D8:07:B6:6E:4E:F4
s-01,-30,-60,-40,-40,-58,-58,-36,-50,-72,98:DE:D0:8F:0A:38
s-01,-30,-38,-40,-40,-58,-56,-36,-52,-72,98:DE:D0:8F:0A:38
s-01,-30,-17,-42,-40,-58,-56,-36,-52,-72,D8:07:B6:6E:4E:F4
s-01,-30,-19,-42,-40,-58,-56,-36,-50,-72,D8:07:B6:6E:4E:F4
s-01,-30,-17,-42,-40,-58,-56,-36,-52,-72,D8:07:B6:6E:4E:F4
s-01,-32,-19,-42,-38,-58,-56,-36,-60,-72,D8:07:B6:6E:4E:F4
s-01,-32,-60,-40,-38,-70,-58,-34,-52,-72,98:DE:D0:8F:0A:38
s-01,-32,-19,-42,-38,-70,-58,-34,-52,-64,D8:07:B6:6E:4E:F4
