ssid,quality,signal,mac,square
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s-01
AP-01,70/70,-40,D8:07:B6:6E:4E:F4,s-01
AP-02,62/70,-48,D8:07:B6:6E:4F:80,s-01
AP-03,70/70,-38,D8:07:B6:6E:4E:0A,s-01
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-01
AP-05,70/70,-38,D8:07:B6:6E:4B:E8,s-01
AP-06,68/70,-42,D8:07:B6:6E:4F:8C,s-01
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-01
AP-08,56/70,-54,58:7F:66:BF:D2:98,s-01
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-01
AP-01,70/70,-38,D8:07:B6:6E:4E:F4,s-01
AP-02,70/70,-34,D8:07:B6:6E:4F:80,s-01
AP-03,70/70,-38,D8:07:B6:6E:4E:0A,s-01
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-01
AP-05,70/70,-38,D8:07:B6:6E:4B:E8,s-01
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-01
AP-07,68/70,-42,50:04:B8:89:A4:F4,s-01
AP-08,56/70,-54,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-40,98:DE:D0:8F:0A:38,s-01
AP-01,70/70,-30,D8:07:B6:6E:4E:F4,s-01
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-01
AP-03,70/70,-40,D8:07:B6:6E:4E:0A,s-01
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-01
AP-05,70/70,-40,D8:07:B6:6E:4B:E8,s-01
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-01
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-01
AP-08,56/70,-54,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-40,98:DE:D0:8F:0A:38,s-01
AP-01,70/70,-34,D8:07:B6:6E:4E:F4,s-01
AP-02,70/70,-38,D8:07:B6:6E:4F:80,s-01
AP-03,70/70,-40,D8:07:B6:6E:4E:0A,s-01
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-01
AP-05,70/70,-40,D8:07:B6:6E:4B:E8,s-01
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-01
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-01
AP-08,56/70,-54,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-38,98:DE:D0:8F:0A:38,s-01
AP-01,70/70,-34,D8:07:B6:6E:4E:F4,s-01
AP-02,70/70,-38,D8:07:B6:6E:4F:80,s-01
AP-03,70/70,-40,D8:07:B6:6E:4E:0A,s-01
