square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-01,-32,-32,-36,-48,-40,-58,-54,-48
s-01,-28,-30,-40,-48,-40,-56,-52,-46
s-01,-32,-32,-22,-34,-40,-56,-66,-48
s-01,-30,-28,-90,-34,-40,-54,-66,-48
s-01,-30,-30,-24,-34,-40,-54,-60,-48
s-01,-32,-32,-24,-36,-40,-54,-82,-60
s-01,-32,-32,-24,-50,-38,-90,-60,-48
s-01,-30,-30,-24,-50,-38,-90,-60,-48
s-01,-58,-30,-28,-50,-36,-56,-76,-48
s-01,-58,-32,-24,-84,-38,-56,-76,-46
s-01,-32,-30,-24,-34,-38,-56,-58,-48
s-01,-32,-30,-56,-34,-40,-56,-56,-48
s-01,-32,-32,-24,-34,-40,-56,-58,-76
s-01,-30,-30,-22,-34,-38,-56,-58,-60
s-01,-30,-30,-24,-34,-38,-56,-58,-46
s-01,-32,-32,-24,-50,-40,-54,-58,-48
s-01,-28,-30,-24,-50,-38,-56,-54,-72
s-01,-30,-30,-22,-34,-40,-56,-60,-88
s-01,-28,-30,-22,-34,-40,-56,-58,-46
s-01,-32,-30,-22,-34,-40,-56,-60,-46
s-01,-30,-28,-24,-34,-38,-56,-54,-48
s-01,-30,-30,-24,-34,-40,-56,-56,-48
s-01,-32,-30,-24,-36,-40,-56,-60,-48
s-01,-30,-32,-22,-36,-38,-56,-60,-46
s-01,-32,-32,-24,-56,-40,-56,-56,-44
s-01,-32,-40,-24,-36,-40,-56,-56,-46
s-01,-38,-28,-22,-34,-40,-56,-56,-46
s-01,-32,-32,-24,-34,-32,-56,-58,-46
s-01,-30,-28,-24,-34,-40,-56,-56,-44
s-01,-30,-34,-24,-34,-38,-56,-56,-46
s-01,-30,-38,-76,-34,-40,-56,-56,-46
s-01,-30,-30,-24,-34,-40,-56,-56,-44
s-01,-30,-30,-24,-34,-38,-56,-56,-46
s-01,-32,-30,-24,-34,-40,-56,-56,-46
s-01,-32,-30,-22,-34,-38,-56,-56,-44
s-01,-32,-30,-22,-36,-38,-56,-58,-48
s-01,-28,-30,-22,-36,-38,-56,-54,-46
s-01,-32,-30,-24,-34,-38,-56,-58,-46
s-01,-32,-30,-24,-36,-38,-54,-56,-48
s-01,-32,-30,-28,-34,-38,-56,-56,-62
s-01,-32,-32,-24,-36,-40,-56,-56,-48
s-01,-30,-32,-24,-36,-38,-56,-56,-88
s-01,-30,-32,-22,-36,-38,-58,-56,-88
s-01,-30,-32,-28,-34,-38,-54,-56,-46
s-01,-38,-30,-22,-34,-38,-54,-56,-44
s-01,-32,-32,-24,-36,-40,-54,-60,-46
s-01,-32,-32,-24,-36,-40,-56,-60,-48
s-01,-32,-28,-24,-36,-40,-56,-60,-48
s-01,-32,-28,-24,-36,-38,-54,-56,-48
s-01,-28,-28,-24,-36,-38,-54,-56,-48
s-01,-32,-32,-76,-34,-40,-54,-60,-48
s-01,-32,-30,-22,-36,-38,-54,-56,-46
s-01,-30,-30,-24,-34,-40,-54,-60,-42
s-01,-30,-32,-74,-34,-38,-52,-56,-44
s-01,-30,-32,-36,-34,-38,-56,-56,-44
s-01,-32,-32,-24,-36,-38,-56,-56,-44
s-01,-30,-32,-24,-36,-38,-56,-56,-44
s-01,-32,-32,-60,-34,-36,-60,-56,-84
