square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-38,-60,-24,-34,-58,-58,-56,-44,-60,D8:07:B6:6E:4F:80
s-03,-38,-30,-24,-36,-56,-58,-40,-44,-60,D8:07:B6:6E:4F:80
s-03,-40,-52,-26,-36,-58,-58,-44,-44,-60,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-60,-58,-44,-44,-60,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-58,-44,-60,-60,D8:07:B6:6E:4F:80
s-03,-40,-60,-26,-34,-52,-56,-44,-44,-60,D8:07:B6:6E:4F:80
s-03,-40,-32,-24,-36,-56,-56,-44,-46,-60,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-56,-56,-62,-46,-60,D8:07:B6:6E:4F:80
s-03,-40,-44,-26,-30,-56,-52,-42,-64,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-68,-70,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-28,-36,-56,-70,-42,-48,-62,D8:07:B6:6E:4F:80
s-03,-40,-32,-60,-36,-54,-70,-42,-48,-62,D8:07:B6:6E:4E:F4
s-03,-40,-32,-60,-48,-56,-70,-42,-44,-62,D8:07:B6:6E:4E:F4
s-03,-40,-30,-24,-36,-54,-70,-42,-40,-62,D8:07:B6:6E:4F:80
s-03,-40,-60,-26,-36,-54,-70,-52,-46,-62,D8:07:B6:6E:4F:80
s-03,-42,-36,-24,-36,-56,-70,-44,-46,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-36,-56,-70,-44,-48,-68,D8:07:B6:6E:4F:80
s-03,-42,-30,-60,-36,-56,-70,-42,-48,-68,D8:07:B6:6E:4E:F4
s-03,-40,-30,-24,-36,-56,-70,-44,-48,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-56,-70,-44,-48,-62,D8:07:B6:6E:4F:80
s-03,-40,-28,-36,-36,-56,-70,-44,-48,-62,D8:07:B6:6E:4E:F4
s-03,-40,-28,-22,-36,-56,-70,-44,-48,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-62,-36,-56,-70,-42,-48,-64,D8:07:B6:6E:4E:F4
s-03,-40,-30,-62,-36,-56,-70,-44,-48,-64,D8:07:B6:6E:4E:F4
s-03,-42,-30,-22,-36,-56,-70,-44,-48,-68,D8:07:B6:6E:4F:80
s-03,-42,-30,-28,-36,-52,-70,-44,-48,-68,D8:07:B6:6E:4F:80
s-03,-42,-32,-28,-36,-64,-54,-44,-46,-68,D8:07:B6:6E:4F:80
s-03,-42,-32,-28,-36,-60,-54,-44,-46,-68,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-54,-54,-44,-56,D8:07:B6:6E:4F:80
s-03,-42,-30,-26,-36,-56,-56,-44,-46,-56,D8:07:B6:6E:4F:80
