square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-36,-20,-34,-28,-62,-52,-42,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-26,-58,-52,-42,-68,-62,D8:07:B6:6E:4E:F4
s-01,-40,-20,-36,-30,-62,-52,-40,-54,-64,D8:07:B6:6E:4E:F4
s-01,-40,-72,-38,-30,-56,-54,-40,-54,-62,D8:07:B6:6E:4E:0A
s-01,-36,-64,-36,-30,-60,-54,-44,-54,-64,D8:07:B6:6E:4E:0A
s-01,-36,-22,-36,-30,-60,-54,-44,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-72,-36,-36,-72,-54,-48,-60,-64,D8:07:B6:6E:4E:0A
s-01,-60,-20,-36,-36,-62,-52,-48,-58,-60,D8:07:B6:6E:4E:F4
s-01,-60,-22,-36,-28,-56,-52,-48,-58,-62,D8:07:B6:6E:4E:F4
s-01,-60,-22,-36,-28,-58,-52,-48,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-28,-58,-52,-48,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-58,-34,-30,-64,-52,-48,-76,-64,D8:07:B6:6E:4E:0A
s-01,-36,-22,-34,-30,-62,-52,-48,-76,-64,D8:07:B6:6E:4E:F4
s-01,-36,-22,-38,-28,-64,-52,-48,-76,-64,D8:07:B6:6E:4E:F4
s-01,-36,-22,-38,-28,-64,-56,-48,-58,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-28,-60,-56,-48,-58,-56,D8:07:B6:6E:4E:F4
s-01,-38,-24,-36,-28,-58,-56,-48,-68,-64,D8:07:B6:6E:4E:F4
s-01,-60,-20,-36,-28,-64,-56,-48,-68,-64,D8:07:B6:6E:4E:F4
s-01,-60,-20,-38,-28,-58,-56,-44,-54,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-28,-66,-60,-42,-62,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-28,-56,-60,-42,-62,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-44,-28,-74,-60,-76,-62,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-44,-36,-70,-60,-76,-68,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-44,-28,-56,-60,-76,-68,-64,D8:07:B6:6E:4E:F4
s-01,-36,-68,-36,-28,-60,-60,-42,-68,-60,D8:07:B6:6E:4E:0A
s-01,-36,-20,-36,-28,-62,-60,-42,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-62,-60,-42,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-32,-30,-62,-60,-42,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-32,-30,-60,-60,-42,-64,-70,D8:07:B6:6E:4E:F4
s-01,-68,-20,-60,-32,-60,-60,-42,-64,-70,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-28,-72,-60,-42,-64,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-36,-72,-60,-42,-64,-62,D8:07:B6:6E:4E:F4
s-01,-36,-20,-34,-36,-66,-60,-42,-64,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-34,-30,-60,-60,-42,-56,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-60,-60,-42,-56,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-56,-60,-42,-56,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-64,-60,-42,-76,-68,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-60,-50,-42,-74,-62,D8:07:B6:6E:4E:F4
s-01,-36,-60,-36,-38,-60,-50,-58,-74,-62,D8:07:B6:6E:4F:80
s-01,-36,-20,-36,-32,-60,-50,-44,-74,-60,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-28,-60,-60,-44,-74,-60,D8:07:B6:6E:4E:F4
s-01,-60,-22,-36,-30,-64,-60,-38,-74,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-78,-40,-60,-60,-40,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-66,-60,-40,-58,-76,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-64,-60,-74,-58,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-38,-30,-64,-58,-74,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-28,-64,-58,-74,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-60,-36,-28,-64,-60,-40,-60,-62,D8:07:B6:6E:4E:0A
s-01,-38,-60,-36,-30,-64,-60,-40,-56,-62,D8:07:B6:6E:4E:0A
s-01,-60,-20,-40,-32,-64,-56,-40,-56,-62,D8:07:B6:6E:4E:F4
