square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-02,-54,-52,-40,-36,-44,-64,-50,-30
s-02,-50,-52,-38,-34,-46,-62,-30,-30
s-02,-50,-52,-40,-36,-46,-62,-32,-30
s-02,-46,-52,-38,-36,-46,-64,-32,-30
s-02,-50,-52,-38,-34,-46,-66,-28,-30
s-02,-46,-52,-40,-36,-46,-66,-30,-32
s-02,-46,-52,-40,-34,-46,-54,-30,-30
s-02,-52,-52,-40,-34,-46,-54,-32,-30
s-02,-52,-52,-40,-34,-46,-66,-32,-38
s-02,-50,-52,-40,-34,-44,-66,-28,-38
s-02,-50,-52,-40,-34,-46,-66,-32,-40
s-02,-48,-52,-40,-34,-44,-64,-32,-40
s-02,-68,-52,-38,-34,-44,-64,-32,-38
s-02,-50,-52,-40,-34,-44,-64,-32,-38
s-02,-50,-52,-40,-34,-44,-64,-32,-38
s-02,-50,-52,-38,-36,-44,-64,-32,-40
s-02,-50,-52,-40,-52,-46,-64,-32,-38
s-02,-52,-50,-36,-34,-44,-64,-32,-40
s-02,-52,-48,-38,-34,-44,-64,-30,-40
s-02,-52,-50,-40,-36,-44,-64,-32,-40
s-02,-46,-48,-40,-34,-44,-62,-32,-38
s-02,-50,-50,-38,-44,-46,-64,-30,-40
s-02,-50,-50,-36,-36,-46,-64,-32,-40
s-02,-50,-50,-30,-34,-46,-64,-32,-38
s-02,-50,-48,-50,-36,-46,-66,-30,-38
s-02,-50,-50,-36,-34,-46,-66,-30,-38
s-02,-52,-50,-36,-34,-46,-64,-32,-38
s-02,-52,-50,-40,-34,-46,-64,-32,-38
s-02,-52,-48,-40,-34,-46,-60,-32,-40
s-02,-46,-48,-40,-34,-44,-60,-32,-40
s-02,-52,-50,-40,-34,-46,-64,-32,-38
s-02,-50,-50,-40,-34,-46,-64,-32,-38
s-02,-50,-50,-36,-36,-44,-64,-32,-38
s-02,-44,-48,-36,-34,-46,-64,-30,-38
s-02,-50,-52,-38,-36,-46,-64,-32,-38
s-02,-52,-52,-38,-34,-46,-62,-30,-40
s-02,-50,-52,-38,-34,-46,-64,-32,-38
s-02,-46,-64,-60,-36,-46,-64,-30,-38
s-02,-50,-64,-60,-34,-46,-64,-30,-38
s-02,-52,-64,-38,-34,-46,-66,-44,-40
s-02,-46,-48,-40,-34,-46,-64,-32,-38
s-02,-50,-48,-40,-34,-46,-64,-36,-38
s-02,-50,-48,-36,-36,-46,-64,-30,-38
s-02,-50,-50,-36,-36,-46,-64,-32,-38
s-02,-50,-48,-40,-34,-48,-64,-32,-38
s-02,-50,-50,-40,-34,-46,-64,-30,-40
s-02,-52,-50,-40,-34,-48,-64,-30,-38
s-02,-50,-52,-40,-34,-46,-64,-32,-38
s-02,-52,-50,-40,-34,-48,-66,-32,-38
s-02,-46,-50,-38,-36,-46,-64,-30,-38
s-02,-50,-50,-40,-34,-46,-66,-32,-36
s-02,-52,-48,-40,-34,-46,-64,-32,-38
s-02,-52,-50,-40,-36,-60,-88,-32,-40
s-02,-52,-50,-40,-36,-46,-64,-32,-38
s-02,-50,-50,-38,-80,-48,-64,-32,-38
s-02,-50,-50,-38,-34,-46,-64,-30,-38
s-02,-52,-50,-38,-34,-46,-64,-32,-40
s-02,-50,-50,-38,-34,-46,-64,-32,-40
s-02,-50,-50,-36,-36,-46,-64,-32,-38
s-02,-52,-50,-36,-72,-46,-64,-32,-38
s-02,-46,-50,-40,-36,-46,-64,-30,-40
s-02,-50,-50,-40,-34,-46,-64,-32,-40
s-02,-52,-48,-44,-34,-46,-64,-32,-40
s-02,-50,-50,-38,-34,-46,-64,-32,-38
s-02,-50,-52,-38,-34,-46,-64,-32,-40
s-02,-52,-50,-38,-36,-46,-64,-32,-38
s-02,-52,-50,-38,-34,-70,-78,-30,-40
s-02,-52,-50,-38,-34,-46,-78,-30,-38
s-02,-50,-50,-40,-34,-46,-64,-30,-38
s-02,-50,-50,-38,-34,-46,-64,-30,-38
s-02,-50,-50,-38,-34,-46,-64,-32,-34
s-02,-52,-50,-36,-34,-46,-64,-32,-38
s-02,-54,-50,-40,-34,-46,-64,-32,-90
s-02,-52,-50,-40,-34,-48,-64,-30,-90
s-02,-52,-50,-40,-34,-46,-64,-32,-38
s-02,-52,-50,-40,-34,-46,-64,-32,-40
s-02,-50,-50,-40,-36,-46,-64,-32,-40
s-02,-52,-50,-38,-34,-46,-64,-32,-34
s-02,-46,-50,-38,-34,-72,-64,-32,-40
s-02,-44,-50,-36,-34,-46,-64,-32,-38
s-02,-50,-50,-40,-34,-46,-64,-32,-40
s-02,-54,-52,-40,-34,-46,-64,-32,-38
s-02,-44,-52,-40,-82,-46,-64,-32,-38
s-02,-46,-52,-40,-34,-46,-64,-32,-36
s-02,-52,-52,-40,-34,-46,-64,-32,-38
s-02,-52,-50,-40,-36,-46,-68,-36,-38
s-02,-46,-50,-38,-44,-46,-64,-32,-38
s-02,-46,-50,-42,-34,-46,-66,-32,-38
s-02,-50,-50,-38,-34,-46,-64,-32,-40
s-02,-54,-50,-38,-34,-48,-64,-32,-38
s-02,-50,-50,-50,-34,-46,-64,-32,-38
s-02,-50,-48,-40,-34,-72,-64,-32,-38
s-02,-52,-48,-36,-34,-46,-64,-30,-38
s-02,-52,-50,-40,-34,-46,-64,-32,-38
s-02,-46,-50,-60,-46,-48,-64,-32,-36
s-02,-50,-50,-60,-36,-46,-64,-32,-40
s-02,-50,-50,-40,-36,-46,-64,-32,-38
s-02,-46,-40,-40,-36,-46,-64,-32,-38
s-02,-52,-40,-40,-34,-46,-64,-32,-40
s-02,-54,-50,-40,-34,-46,-66,-34,-38
s-02,-68,-50,-40,-36,-46,-64,-34,-38
s-02,-50,-50,-40,-34,-46,-66,-32,-38
s-02,-44,-52,-40,-34,-46,-62,-32,-36
s-02,-46,-60,-40,-34,-46,-58,-32,-38
s-02,-50,-60,-36,-34,-46,-58,-32,-36
s-02,-52,-50,-36,-34,-46,-58,-32,-38
s-02,-46,-50,-40,-34,-68,-58,-32,-34
s-02,-52,-50,-38,-36,-46,-58,-32,-38
s-02,-52,-50,-38,-34,-68,-66,-32,-38
s-02,-52,-50,-38,-34,-46,-66,-32,-38
s-02,-52,-50,-40,-34,-46,-66,-32,-36
s-02,-52,-50,-40,-34,-68,-66,-32,-38
s-02,-52,-50,-40,-34,-46,-66,-32,-40
s-02,-54,-48,-40,-88,-48,-66,-32,-36
s-02,-54,-48,-38,-34,-78,-66,-32,-38
s-02,-50,-50,-38,-34,-46,-66,-32,-42
s-02,-50,-52,-38,-36,-44,-66,-30,-38
s-02,-50,-52,-38,-34,-44,-66,-32,-30
s-02,-60,-52,-40,-36,-46,-62,-30,-32
s-02,-60,-52,-40,-44,-46,-64,-30,-44
s-02,-52,-52,-40,-34,-44,-64,-30,-40
s-02,-50,-48,-40,-34,-46,-66,-32,-36
s-02,-46,-50,-40,-34,-46,-66,-32,-38
s-02,-54,-50,-68,-36,-48,-66,-30,-42
s-02,-46,-50,-40,-34,-68,-64,-30,-40
s-02,-52,-50,-40,-36,-48,-64,-32,-38
s-02,-52,-50,-60,-34,-46,-64,-32,-38
s-02,-46,-50,-40,-36,-44,-64,-32,-36
s-02,-54,-50,-40,-36,-68,-64,-32,-36
s-02,-50,-50,-40,-34,-46,-64,-30,-36
s-02,-52,-50,-40,-34,-68,-64,-32,-36
s-02,-52,-50,-40,-34,-48,-64,-30,-34
s-02,-54,-50,-36,-34,-46,-64,-30,-38
s-02,-52,-50,-40,-36,-46,-64,-32,-40
s-02,-54,-50,-40,-34,-48,-64,-32,-44
s-02,-52,-50,-40,-36,-46,-64,-32,-40
