square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-44,-40,-30,-28,-50,-46,-54,-44,-58,D8:07:B6:6E:4E:0A
s-03,-44,-40,-28,-28,-48,-46,-46,-44,-56,D8:07:B6:6E:4E:0A
s-03,-44,-42,-30,-28,-52,-48,-46,-44,-56,D8:07:B6:6E:4E:0A
s-03,-44,-42,-30,-28,-52,-48,-50,-44,-64,D8:07:B6:6E:4E:0A
s-03,-44,-42,-30,-30,-50,-48,-44,-44,-62,D8:07:B6:6E:4E:0A
s-03,-44,-40,-28,-28,-48,-48,-44,-44,-62,D8:07:B6:6E:4E:0A
s-03,-44,-44,-28,-44,-48,-48,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-44,-40,-28,-28,-48,-48,-44,-44,-58,D8:07:B6:6E:4E:0A
s-03,-44,-40,-28,-26,-50,-48,-44,-44,-58,D8:07:B6:6E:4E:0A
s-03,-44,-36,-52,-26,-54,-48,-58,-44,-66,D8:07:B6:6E:4E:0A
s-03,-44,-42,-46,-28,-52,-48,-58,-44,-66,D8:07:B6:6E:4E:0A
s-03,-44,-40,-32,-64,-52,-48,-58,-44,-66,D8:07:B6:6E:4F:80
s-03,-44,-40,-32,-28,-52,-48,-60,-44,-66,D8:07:B6:6E:4E:0A
s-03,-38,-38,-32,-28,-52,-48,-60,-72,-66,D8:07:B6:6E:4E:0A
s-03,-74,-40,-32,-28,-52,-48,-46,-72,-62,D8:07:B6:6E:4E:0A
s-03,-74,-38,-32,-28,-52,-48,-46,-48,-64,D8:07:B6:6E:4E:0A
s-03,-74,-38,-52,-28,-52,-50,-46,-48,-66,D8:07:B6:6E:4E:0A
s-03,-38,-42,-44,-44,-52,-56,-46,-46,-66,98:DE:D0:8F:0A:38
s-03,-38,-42,-60,-28,-50,-56,-44,-44,-62,D8:07:B6:6E:4E:0A
s-03,-38,-42,-76,-28,-50,-48,-42,-48,-62,D8:07:B6:6E:4E:0A
s-03,-38,-48,-30,-44,-50,-48,-42,-48,-62,D8:07:B6:6E:4F:80
s-03,-38,-32,-32,-44,-50,-48,-42,-48,-62,D8:07:B6:6E:4E:F4
s-03,-38,-50,-52,-44,-72,-48,-48,-46,-62,98:DE:D0:8F:0A:38
s-03,-38,-36,-48,-34,-56,-46,-44,-72,-62,D8:07:B6:6E:4E:0A
s-03,-38,-36,-48,-48,-48,-46,-46,-76,-68,D8:07:B6:6E:4E:F4
s-03,-38,-48,-48,-44,-48,-46,-46,-46,-68,98:DE:D0:8F:0A:38
s-03,-38,-48,-26,-32,-50,-46,-46,-46,-68,D8:07:B6:6E:4F:80
