ssid,quality,signal,mac,square
AP-00,36/70,-74,98:DE:D0:8F:0A:38,s-11
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-11
AP-02,36/70,-74,D8:07:B6:6E:4F:80,s-11
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-11
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-11
AP-05,36/70,-74,D8:07:B6:6E:4B:E8,s-11
AP-06,56/70,-54,D8:07:B6:6E:4F:8C,s-11
AP-00,38/70,-72,98:DE:D0:8F:0A:38,s-11
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-11
AP-02,30/70,-80,D8:07:B6:6E:4F:80,s-11
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-11
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-11
AP-05,70/70,-40,D8:07:B6:6E:4B:E8,s-11
AP-06,62/70,-48,D8:07:B6:6E:4F:8C,s-11
AP-00,40/70,-70,98:DE:D0:8F:0A:38,s-11
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-11
AP-02,34/70,-76,D8:07:B6:6E:4F:80,s-11
AP-03,42/70,-68,D8:07:B6:6E:4E:0A,s-11
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-11
AP-05,70/70,-38,D8:07:B6:6E:4B:E8,s-11
AP-06,64/70,-46,D8:07:B6:6E:4F:8C,s-11
AP-00,42/70,-68,98:DE:D0:8F:0A:38,s-11
AP-01,46/70,-64,D8:07:B6:6E:4E:F4,s-11
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-11
AP-03,48/70,-62,D8:07:B6:6E:4E:0A,s-11
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-11
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-11
AP-06,70/70,-38,D8:07:B6:6E:4F:8C,s-11
AP-00,44/70,-66,98:DE:D0:8F:0A:38,s-11
AP-01,40/70,-70,D8:07:B6:6E:4E:F4,s-11
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-11
AP-03,40/70,-70,D8:07:B6:6E:4E:0A,s-11
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-11
AP-05,68/70,-42,D8:07:B6:6E:4B:E8,s-11
AP-06,68/70,-42,D8:07:B6:6E:4F:8C,s-11
AP-00,40/70,-70,98:DE:D0:8F:0A:38,s-11
AP-01,32/70,-78,D8:07:B6:6E:4E:F4,s-11
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-11
AP-03,48/70,-62,D8:07:B6:6E:4E:0A,s-11
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-11
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-11
AP-06,66/70,-44,D8:07:B6:6E:4F:8C,s-11
AP-00,40/70,-70,98:DE:D0:8F:0A:38,s-11
AP-01,30/70,-80,D8:07:B6:6E:4E:F4,s-11
AP-02,38/70,-72,D8:07:B6:6E:4F:80,s-11
AP-03,52/70,-58,D8:07:B6:6E:4E:0A,s-11
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-11
AP-05,68/70,-42,D8:07:B6:6E:4B:E8,s-11
AP-06,66/70,-44,D8:07:B6:6E:4F:8C,s-11
AP-00,38/70,-72,98:DE:D0:8F:0A:38,s-11
AP-01,30/70,-80,D8:07:B6:6E:4E:F4,s-11
AP-02,42/70,-68,D8:07:B6:6E:4F:80,s-11
