ssid,quality,signal,mac,square
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s01
AP-01,70/70,-24,D8:07:B6:6E:4E:F4,s01
AP-02,70/70,-36,D8:07:B6:6E:4F:80,s01
AP-03,70/70,-34,D8:07:B6:6E:4E:0A,s01
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s01
AP-05,62/70,-48,D8:07:B6:6E:4B:E8,s01
AP-06,56/70,-54,D8:07:B6:6E:4F:8C,s01
ssid,quality,signal,mac,square
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-01
AP-01,70/70,-24,D8:07:B6:6E:4E:F4,s-01
AP-02,66/70,-44,D8:07:B6:6E:4F:80,s-01
AP-03,70/70,-34,D8:07:B6:6E:4E:0A,s-01
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-01
AP-05,60/70,-50,D8:07:B6:6E:4B:E8,s-01
AP-06,58/70,-52,D8:07:B6:6E:4F:8C,s-01
